Site	Biogeographic_realm	Disturbance	Activity	Time	Cover_5	LPS_5	MPS_5	Iso_5	Ratio_5	Plants	Invertebrates	Birds	Herpetofauna	Mammals	Cover	Density	Biomass	Height	Litter	Metric	abRR
5	Australasia	secondary	passive	42.5	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	diversity	0.2448
5	Australasia	secondary	passive	42.5	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.0083
5	Australasia	secondary	passive	42.5	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.072
5	Australasia	secondary	passive	42.5	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.1003
5	Australasia	secondary	passive	75	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	richness	0.0339
5	Australasia	secondary	passive	75	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	abundance	0.2368
5	Australasia	secondary	passive	75	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	diversity	0.1863
5	Australasia	secondary	passive	75	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.0324
5	Australasia	secondary	passive	75	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.1482
5	Australasia	secondary	passive	75	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.026
5	Australasia	secondary	passive	111	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	richness	0.1292
5	Australasia	secondary	passive	111	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	abundance	0.2809
5	Australasia	secondary	passive	111	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	diversity	0.3922
5	Australasia	secondary	passive	111	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.0163
5	Australasia	secondary	passive	111	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.1239
5	Australasia	secondary	passive	111	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.0228
6	Neotropic	secondary	passive	2	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	richness	1.3863
6	Neotropic	secondary	passive	2	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	abundance	3.4012
6	Neotropic	secondary	passive	2	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	diversity	0.9651
6	Neotropic	secondary	passive	11	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	richness	1.3863
6	Neotropic	secondary	passive	11	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	abundance	2.7081
6	Neotropic	secondary	passive	11	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	diversity	1.135
6	Neotropic	secondary	passive	37	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	richness	0.6931
6	Neotropic	secondary	passive	37	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	abundance	0.1464
6	Neotropic	secondary	passive	37	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	diversity	0.8199
6	Neotropic	secondary	passive	60.5	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	richness	0.2877
6	Neotropic	secondary	passive	60.5	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	abundance	0.4759
6	Neotropic	secondary	passive	60.5	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	diversity	0.4055
6	Neotropic	secondary	passive	87	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	richness	0.2877
6	Neotropic	secondary	passive	87	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	abundance	0.5664
6	Neotropic	secondary	passive	87	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	diversity	0.4144
6	Neotropic	secondary	passive	151.5	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	richness	0.2877
6	Neotropic	secondary	passive	151.5	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	abundance	0.3433
6	Neotropic	secondary	passive	151.5	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	diversity	0.379
6	Neotropic	secondary	passive	183.5	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	richness	0.2877
6	Neotropic	secondary	passive	183.5	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	abundance	0.0645
6	Neotropic	secondary	passive	183.5	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	diversity	0.3448
6	Neotropic	secondary	passive	235	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	richness	0.08
6	Neotropic	secondary	passive	235	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	abundance	0.1418
6	Neotropic	secondary	passive	235	65	7.78532584	7.78532584	4.405	1.443	1	0	0	0	0	0	0	0	0	0	diversity	0.0745
7	Australasia	secondary	passive	22	53.75	7.799336555	7.799336555	3.799	0.825	0	0	0	0	1	0	0	0	0	0	richness	0.1178
8	Australasia	secondary	active_plantation	23.5	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	richness	0.0556
8	Australasia	secondary	active_plantation	15	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	richness	0.2513
8	Australasia	secondary	active_plantation	23.5	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	abundance	0.6539
8	Australasia	secondary	active_plantation	15	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	abundance	0.1508
8	Australasia	secondary	active_plantation	23.5	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	diversity	0.247
8	Australasia	secondary	active_plantation	15	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	diversity	0.1394
8	Australasia	secondary	active_plantation	23.5	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	similarity	0.1176
8	Australasia	secondary	active_plantation	15	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	similarity	0.1453
8	Australasia	secondary	active_plantation	23.5	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	similarity	0.078
8	Australasia	secondary	active_plantation	15	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	similarity	0.0927
8	Australasia	secondary	active_plantation	23.5	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	similarity	0.0572
8	Australasia	secondary	active_plantation	15	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	similarity	0.0144
9	Australasia	secondary	passive	3	83.75	7.919074098	7.623245296	4.633	2.289	0	1	0	0	0	0	0	0	0	0	richness	0.1349
9	Australasia	secondary	passive	3	83.75	7.919074098	7.623245296	4.633	2.289	0	1	0	0	0	0	0	0	0	0	abundance	0.4708
9	Australasia	secondary	passive	50	83.75	7.919074098	7.623245296	4.633	2.289	0	1	0	0	0	0	0	0	0	0	richness	0.2053
9	Australasia	secondary	passive	50	83.75	7.919074098	7.623245296	4.633	2.289	0	1	0	0	0	0	0	0	0	0	abundance	0.1329
9	Australasia	secondary	passive	50	83.75	7.919074098	7.623245296	4.633	2.289	0	1	0	0	0	0	0	0	0	0	diversity	0.2747
10	Australasia	secondary	active_plantation	7	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	1.0521
10	Australasia	secondary	active_plantation	7	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	2.0477
10	Australasia	secondary	active_plantation	7	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	0.6286
10	Australasia	secondary	active_plantation	7	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	1.0116
10	Australasia	secondary	active_plantation	7	NA	NA	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	others	0.4055
10	Australasia	secondary	active_plantation	7	NA	NA	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	others	0.6466
11	Australasia	secondary	active_managed	3	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	abundance	1.9566
11	Australasia	secondary	active_managed	3	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	abundance	0.6774
11	Australasia	secondary	active_managed	3	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	0.008
11	Australasia	secondary	active_managed	3	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	0.1446
11	Australasia	secondary	active_managed	3	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	0.0953
12	Australasia	secondary	active_plantation	4	60	7.724271875	7.724271875	3.694	1.17	1	0	0	0	0	0	0	0	0	0	richness	0.1375
12	Australasia	secondary	active_plantation	11	60	7.724271875	7.724271875	3.694	1.17	1	0	0	0	0	0	0	0	0	0	richness	0.1111
12	Australasia	secondary	active_plantation	4	60	7.724271875	7.724271875	3.694	1.17	1	0	0	0	0	0	0	0	0	0	similarity	0.0809
12	Australasia	secondary	active_plantation	11	60	7.724271875	7.724271875	3.694	1.17	1	0	0	0	0	0	0	0	0	0	similarity	0.2319
12	Australasia	secondary	active_plantation	4	60	7.724271875	7.724271875	3.694	1.17	1	0	0	0	0	0	0	0	0	0	similarity	0.1277
12	Australasia	secondary	active_plantation	11	60	7.724271875	7.724271875	3.694	1.17	1	0	0	0	0	0	0	0	0	0	similarity	0.0324
13	Australasia	secondary	active_plantation	4	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	richness	0.5754
13	Australasia	secondary	active_plantation	6	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	richness	0.47
13	Australasia	secondary	active_plantation	9	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	richness	0.5754
13	Australasia	secondary	active_plantation	4	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	abundance	1.5581
13	Australasia	secondary	active_plantation	6	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	abundance	1.4404
13	Australasia	secondary	active_plantation	9	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	abundance	1.8458
13	Australasia	secondary	active_plantation	4	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	abundance	1.8971
13	Australasia	secondary	active_plantation	6	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	abundance	1.2993
13	Australasia	secondary	active_plantation	9	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	abundance	1.204
13	Australasia	secondary	active_plantation	4	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	abundance	2.1972
13	Australasia	secondary	active_plantation	6	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	abundance	1.6094
13	Australasia	secondary	active_plantation	9	51.25	7.568197729	7.113939358	2.88	3.099	1	0	0	0	0	0	0	0	0	0	abundance	1.2528
13	Australasia	secondary	active_plantation	4	51.25	7.568197729	7.113939358	2.88	3.099	0	1	0	0	0	0	0	0	0	0	abundance	2.9957
13	Australasia	secondary	active_plantation	6	51.25	7.568197729	7.113939358	2.88	3.099	0	1	0	0	0	0	0	0	0	0	abundance	2.8134
13	Australasia	secondary	active_plantation	9	51.25	7.568197729	7.113939358	2.88	3.099	0	1	0	0	0	0	0	0	0	0	abundance	1.8971
13	Australasia	secondary	active_plantation	4	51.25	7.568197729	7.113939358	2.88	3.099	0	1	0	0	0	0	0	0	0	0	richness	1.4469
13	Australasia	secondary	active_plantation	6	51.25	7.568197729	7.113939358	2.88	3.099	0	1	0	0	0	0	0	0	0	0	richness	1.7346
13	Australasia	secondary	active_plantation	9	51.25	7.568197729	7.113939358	2.88	3.099	0	1	0	0	0	0	0	0	0	0	richness	1.0415
14	Australasia	secondary	active_plantation	5	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	0.6931
14	Australasia	secondary	active_plantation	5	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	0.1542
14	Australasia	secondary	passive	2	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	0.2336
14	Australasia	secondary	passive	2	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	abundance	0.6837
14	Australasia	secondary	passive	2	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	diversity	0.0703
14	Australasia	secondary	passive	2	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.2782
14	Australasia	secondary	passive	2	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.5452
14	Australasia	secondary	passive	2	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.2089
14	Australasia	secondary	passive	8.5	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	0.087
14	Australasia	secondary	passive	8.5	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	abundance	0.2365
14	Australasia	secondary	passive	8.5	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	diversity	0.0969
14	Australasia	secondary	passive	8.5	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.2559
14	Australasia	secondary	passive	8.5	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.2063
14	Australasia	secondary	passive	8.5	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.6311
15	Afrotropic	secondary	active_plantation	2.5	41.25	7.505145984	7.243034054	2.91	1.896	0	0	1	0	0	0	0	0	0	0	richness	1.1701
15	Afrotropic	secondary	active_plantation	2.5	41.25	7.505145984	7.243034054	2.91	1.896	0	0	1	0	0	0	0	0	0	0	abundance	0.2782
15	Afrotropic	secondary	active_plantation	2.5	41.25	7.505145984	7.243034054	2.91	1.896	0	0	1	0	0	0	0	0	0	0	diversity	1.8062
15	Afrotropic	secondary	active_plantation	10.5	41.25	7.505145984	7.243034054	2.91	1.896	0	0	1	0	0	0	0	0	0	0	richness	0.2464
15	Afrotropic	secondary	active_plantation	10.5	41.25	7.505145984	7.243034054	2.91	1.896	0	0	1	0	0	0	0	0	0	0	abundance	0.2587
15	Afrotropic	secondary	active_plantation	10.5	41.25	7.505145984	7.243034054	2.91	1.896	0	0	1	0	0	0	0	0	0	0	diversity	0.8342
16	Australasia	secondary	passive	3	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	richness	0.2291
16	Australasia	secondary	passive	3	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	abundance	0.1628
16	Australasia	secondary	passive	3	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	diversity	0.2426
16	Australasia	secondary	passive	3	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.0725
16	Australasia	secondary	passive	3	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.0509
16	Australasia	secondary	passive	3	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.0741
16	Australasia	secondary	passive	8.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	richness	0.045
16	Australasia	secondary	passive	8.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	abundance	0.1342
16	Australasia	secondary	passive	8.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	diversity	0.1971
16	Australasia	secondary	passive	8.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.0075
16	Australasia	secondary	passive	8.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.1573
16	Australasia	secondary	passive	8.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.0084
16	Australasia	secondary	passive	23.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	richness	0.0792
16	Australasia	secondary	passive	23.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	abundance	0.1036
16	Australasia	secondary	passive	23.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	diversity	0.2364
16	Australasia	secondary	passive	23.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.0324
16	Australasia	secondary	passive	23.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.1394
16	Australasia	secondary	passive	23.25	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.123
16	Australasia	secondary	passive	38	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	richness	0.0792
16	Australasia	secondary	passive	38	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	abundance	0.3291
16	Australasia	secondary	passive	38	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	diversity	0.7162
16	Australasia	secondary	passive	38	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.0901
16	Australasia	secondary	passive	38	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.1682
16	Australasia	secondary	passive	38	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.3342
16	Australasia	secondary	passive	52.75	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	richness	0.0186
16	Australasia	secondary	passive	52.75	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	abundance	0.3717
16	Australasia	secondary	passive	52.75	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	diversity	0.4027
16	Australasia	secondary	passive	52.75	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.0555
16	Australasia	secondary	passive	52.75	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.107
16	Australasia	secondary	passive	52.75	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	similarity	0.2515
17	Australasia	secondary	active_plantation	14	42.5	7.491357699	7.267167734	3.022	2.177	0	0	0	1	0	0	0	0	0	0	richness	0.3567
17	Australasia	secondary	active_plantation	14	42.5	7.491357699	7.267167734	3.022	2.177	0	0	0	1	0	0	0	0	0	0	abundance	0.1088
17	Australasia	secondary	active_plantation	14	42.5	7.491357699	7.267167734	3.022	2.177	0	0	0	1	0	0	0	0	0	0	diversity	0.5235
17	Australasia	secondary	passive	15	42.5	7.491357699	7.267167734	3.022	2.177	0	0	0	1	0	0	0	0	0	0	richness	1.204
17	Australasia	secondary	passive	15	42.5	7.491357699	7.267167734	3.022	2.177	0	0	0	1	0	0	0	0	0	0	abundance	2.8565
17	Australasia	secondary	passive	15	42.5	7.491357699	7.267167734	3.022	2.177	0	0	0	1	0	0	0	0	0	0	diversity	0.0821
18	Neotropic	secondary	passive	25	98.75	7.98676774	7.98676774	5.585	0.433	0	1	0	0	0	0	0	0	0	0	richness	0.2545
19	Australasia	secondary	passive	4	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	0.5371
19	Australasia	secondary	passive	4	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	abundance	0.6653
19	Australasia	secondary	passive	4	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	diversity	0.8582
19	Australasia	secondary	passive	4	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.0356
19	Australasia	secondary	passive	4	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.6523
19	Australasia	secondary	passive	4	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.4254
19	Australasia	secondary	passive	15	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	0.3735
19	Australasia	secondary	passive	15	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	abundance	1.0861
19	Australasia	secondary	passive	15	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	diversity	0.8796
19	Australasia	secondary	passive	15	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.0081
19	Australasia	secondary	passive	15	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.1823
19	Australasia	secondary	passive	15	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.5167
19	Australasia	secondary	passive	20	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	richness	0.5596
19	Australasia	secondary	passive	20	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	abundance	0.4566
19	Australasia	secondary	passive	20	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	diversity	0.8029
19	Australasia	secondary	passive	20	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.0135
19	Australasia	secondary	passive	20	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.6931
19	Australasia	secondary	passive	20	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	0	0	0	similarity	0.3479
20	Neotropic	secondary	passive	11.5	90	7.924275291	7.924275291	5.171	0.619	1	0	0	0	0	0	0	0	0	0	richness	0.9651
